message,label,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
Oi when you gonna ring,ham,,22,,,,,
"Oh yes, why is it like torture watching england?",ham,,48,,,,,
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,ham,,141,,,,,
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,ham,,87,,,,,
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),ham,,127,,,,,
See you there! ,ham,,15,,,,,
Thanks  and ! Or bomb and date as my phone wanted to say! ,ham,,58,,,,,
hanks lotsly!,ham,,13,,,,,
"I shall book chez jules for half eight, if that's ok with you?",ham,,62,,,,,
I wonder if you'll get this text?,ham,,33,,,,,
Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,ham,,104,,,,,
Er yep sure. Props?,ham,,19,,,,,
I have a rather prominent bite mark on my right cheek,ham,,53,,,,,
Yeah confirmed for you staying at  that weekend,ham,,47,,,,,
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham,,122,,,,,
"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",ham,,85,,,,,
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,ham,,95,,,,,
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",ham,,77,,,,,
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,ham,,87,,,,,
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",ham,,153,,,,,
Hows the champ just leaving glasgow!,ham,,36,,,,,
You'll never believe this but i have actually got off at taunton. Wow,ham,,69,,,,,
:-( sad puppy noise,ham,,19,,,,,
Big brother‘s really scraped the barrel with this shower of social misfits,ham,,74,,,,,
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",ham,,117,,,,,
What time. I‘m out until prob 3 or so,ham,,37,,,,,
Yeah whatever lol,ham,,17,,,,,
Kinda. First one gets in at twelve! Aah. Speak tomo,ham,,51,,,,,
