Message,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
Bugis oso near wat...,,21,,,,,
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,111,,,,,
I dunno until when... Lets go learn pilates...,,46,,,,,
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",,140,,,,,
Meet after lunch la...,,22,,,,,
m walking in citylink now ü faster come down... Me very hungry...,,65,,,,,
5 nights...We nt staying at port step liao...Too ex,,51,,,,,
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,,81,,,,,
"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",,160,,,,,
Hey tmr maybe can meet you at yck,,33,,,,,
Oh...i asked for fun. Haha...take care. ü,,41,,,,,
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,,132,,,,,
t finish my film yet...,,23,,,,,
m having dinner with my cousin...,,33,,,,,
Oh... Kay... On sat right?,,26,,,,,
I need... Coz i never go before,,31,,,,,
s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,,114,,,,,
I am going to sao mu today. Will be done only at 12,,51,,,,,
Hey gals...U all wanna meet 4 dinner at nìte?,,45,,,,,
Jos ask if u wana meet up?,,26,,,,,
Haiyoh... Maybe your hamster was jealous of million,,51,,,,,
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,,63,,,,,
ve booked the pilates and yoga lesson already... Haha,,53,,,,,
Yup... I havent been there before... You want to go for the yoga? I can call up to book,,87,,,,,
K... Must book a not huh? so going for yoga basic on sunday?,,60,,,,,
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,,79,,,,,
Sat right? Okay thanks...,,25,,,,,
Yup... From what i remb... I think should be can book...,,56,,,,,
m going to get specs. My membership is PX3748,,45,,,,,
We can go 4 e normal pilates after our intro...,,47,,,,,
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,,118,,,,,
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",,82,,,,,
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",,58,,,,,
Wah... Okie okie... Muz make use of e unlimited... Haha...,,58,,,,,
ll go yan jiu den msg u...,,26,,,,,
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,155,,,,,
"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",,83,,,,,
Nope... Juz off from work...,,28,,,,,
Oh oh... Wasted... Den muz chiong on sat n sun liao...,,54,,,,,
"Haha... Sounds crazy, dunno can tahan anot...",,45,,,,,
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",,93,,,,,
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",,125,,,,,
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",,107,,,,,
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",,159,,,,,
"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",,116,,,,,
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,,69,,,,,
s nt much lesson to go if we attend kb on sat...,,48,,,,,
Den wat will e schedule b lk on sun?,,36,,,,,
Eh den sat u book e kb liao huh...,,34,,,,,
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,,79,,,,,
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,122,,,,,
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,,142,,,,,
Hey... are you going to quit soon? Xuhui and i working till end of the month,,76,,,,,
s a kb lesson tonight,,21,,,,,
Hey so whats the plan this sat?,,31,,,,,
ve woken up...,,14,,,,,
Hey i will be late ah... Meet you at 945+,,41,,,,,
Hey tmr meet at bugis 930 ?,,27,,,,,
Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel,,111,,,,,
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,,97,,,,,
ve booked the 2 lessons on sun liao...,,38,,,,,
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,119,,,,,
Oh... Okie lor...We go on sat...,,32,,,,,
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",,133,,,,,
"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",,97,,,,,
"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",,69,,,,,
"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",,101,,,,,
m eatin too much n puttin on weight...Haha... So anythin special happened?,,74,,,,,
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,123,,,,,
"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",,104,,,,,
Goin to workout lor... Muz lose e fats...,,41,,,,,
ve oredi booked slots 4 my weekends liao...,,43,,,,,
"I noe la... U wana pei bf oso rite... K lor, other days den...",,62,,,,,
U meet other fren dun wan meet me ah... Muz b a guy rite...,,59,,,,,
"Oh... Icic... K lor, den meet other day...",,42,,,,,
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",,115,,,,,
U attend ur driving lesson how many times a wk n which day?,,59,,,,,
Ay wana meet on sat?ü wkg on sat?,,33,,,,,
Shopping? Eh ger i toking abt syd leh...Haha,,44,,,,,
s é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),,86,,,,,
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,,78,,,,,
Okay... I booked all already... Including the one at bugis.,,59,,,,,
Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,,68,,,,,
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,101,,,,,
Hey we can go jazz power yoga hip hop kb and yogasana,,53,,,,,
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",,102,,,,,
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,,80,,,,,
Wa... U so efficient... Gee... Thanx...,,39,,,,,
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",,71,,,,,
s e best choice den we juz have to take it...,,45,,,,,
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,,90,,,,,
"Until 545 lor... Ya, can go 4 dinner together...",,48,,,,,
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",,141,,,,,
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",,131,,,,,
s shop ?,,8,,,,,
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",,65,,,,,
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",,70,,,,,
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,,108,,,,,
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,,69,,,,,
Hey... What time is your driving on fri? We go for evaluation on fri?,,69,,,,,
m going to be late leh.,,23,,,,,
Hey are we going for the lo lesson or gym?,,42,,,,,
Okay... We wait ah,,18,,,,,
Hey come online! Use msn... We are all there,,44,,,,,
Oh yah... We never cancel leh... Haha,,37,,,,,
K. Did you call me just now ah?,,31,,,,,
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,,110,,,,,
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,,121,,,,,
You want to go?,,15,,,,,
Kay... Since we are out already,,31,,,,,
Haha okay... Today weekend leh...,,33,,,,,
Haha... They cant what... At the most tmr forfeit... haha so how?,,65,,,,,
Hey... Why dont we just go watch x men and have lunch... Haha,,61,,,,,
Haha... Really oh no... How? Then will they deduct your lesson tmr?,,67,,,,,
m only reaching tp mrt,,22,,,,,
m goin to be late,,17,,,,,
Ya! when are ü taking ure practical lessons? I start in june..,,62,,,,,
Hey... Very inconvenient for your sis a not huh?,,48,,,,,
m at amk. Need to drink tea or coffee,,37,,,,,
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,,87,,,,,
s on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,68,,,,,
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),,83,,,,,
Haha... Hope ü can hear the receipt sound... Gd luck!,,53,,,,,
Huh? 6 also cannot? Then only how many mistakes?,,48,,,,,
Nope... Think i will go for it on monday... Sorry i replied so late,,67,,,,,
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,70,,,,,
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,,96,,,,,
Hey gals.. Anyone of u going down to e driving centre tmr?,,58,,,,,
Ok no prob,,10,,,,,
Nope i waiting in sch 4 daddy...,,32,,,,,
Dunno lei he neva say...,,24,,,,,
Ü called dad oredi...,,21,,,,,
Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...,,81,,,,,
Dad went out oredi...,,21,,,,,
Ü still attending da talks?,,27,,,,,
Then she buying today? Ü no need to c meh...,,44,,,,,
m free...,,9,,,,,
Nope... C ü then...,,19,,,,,
Is fujitsu s series lifebook good?,,34,,,,,
Is toshiba portege m100 gd?,,27,,,,,
Yun buying... But school got offer 2000 plus only...,,52,,,,,
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",,65,,,,,
Okie... Thanx...,,16,,,,,
How come i din c ü... Yup i cut my hair...,,42,,,,,
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,,80,,,,,
s naughty... Ü so free today? Can go jogging...,,47,,,,,
Ok... C ya...,,13,,,,,
m not drivin... I neva develop da photos lei...,,47,,,,,
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,,82,,,,,
