message,label,Extracted URL,Message Len,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,,111,,,,,
Ok lar... Joking wif u oni...,ham,,29,,,,,
U dun say so early hor... U c already then say...,ham,,49,,,,,
"Nah I don't think he goes to usf, he lives around here though",ham,,61,,,,,
Even my brother is not like to speak with me. They treat me like aids patent.,ham,,77,,,,,
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,,160,,,,,
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,,109,,,,,
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,,196,,,,,
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,,35,,,,,
Oh k...i'm watching here:),ham,,26,,,,,
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,,81,,,,,
Fine if thats the way u feel. Thats the way its gota b,ham,,56,,,,,
Is that seriously how you spell his name?,ham,,41,,,,,
I‘m going to try for 2 months ha ha only joking,ham,,47,,,,,
So ü pay first lar... Then when is da stock comin...,ham,,52,,,,,
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,,88,,,,,
Ffffffffff. Alright no way I can meet up with you sooner?,ham,,57,,,,,
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,,144,,,,,
Lol your always so convincing.,ham,,30,,,,,
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,,134,,,,,
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,,75,,,,,
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,,64,,,,,
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,,130,,,,,
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,,189,,,,,
K tell me anything about you.,ham,,29,,,,,
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,,84,,,,,
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,,122,,,,,
"Oops, I'll let you know when my roommate's done",ham,,47,,,,,
I see the letter B on my car,ham,,28,,,,,
Anything lor... U decide...,ham,,27,,,,,
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,,155,,,,,
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,,82,,,,,
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,,142,,,,,
WHO ARE YOU SEEING?,ham,,19,,,,,
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,,72,,,,,
No calls..messages..missed calls,ham,,32,,,,,
Didn't you get hep b immunisation in nigeria.,ham,,45,,,,,
"Fair enough, anything going on?",ham,,31,,,,,
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,,67,,,,,
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,,148,,,,,
What you thinked about me. First time you saw me in class.,ham,,58,,,,,
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,,124,,,,,
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,,80,,,,,
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham,,289,,,,,
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,,76,,,,,
"Sorry, I'll call later in meeting.",ham,,34,,,,,
Tell where you reached,ham,,22,,,,,
Yes..gauti and sehwag out of odi series.,ham,,40,,,,,
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,,108,,,,,
Ha ha ha good joke. Girls are situation seekers.,ham,,48,,,,,
Its a part of checking IQ,ham,,25,,,,,
"Sorry my roommates took forever, it ok if I come by now?",ham,,56,,,,,
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,,110,,,,,
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham,,122,,,,,
I plane to give on this month end.,ham,,34,,,,,
Wah lucky man... Then can save money... Hee...,ham,,46,,,,,
Finished class where are you.,ham,,29,,,,,
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,,45,,,,,
K..k:)where are you?how did you performed?,ham,,42,,,,,
U can call me now...,ham,,20,,,,,
I am waiting machan. Call me once you free.,ham,,43,,,,,
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,,73,,,,,
I like you peoples very much:) but am very shy pa.,ham,,50,,,,,
Does not operate after  &lt;#&gt;  or what,ham,,42,,,,,
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,,76,,,,,
"Sorry, I'll call later",ham,,22,,,,,
K. Did you call me just now ah? ,ham,,32,,,,,
Ok i am on the way to home hi hi,ham,,32,,,,,
You will be in the place of that man,ham,,36,,,,,
Yup next stop.,ham,,14,,,,,
