ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://wiseschool.com,wiseschool.com,0,0,-1,0
0,1,http://endosonic.com,endosonic.com,0,0,-1,0
0,1,http://otq.hellimnone.com,otq.hellimnone.com,0,0,-1,0
0,1,http://www.netcollage.com,www.netcollage.com,0,0,-1,0
0,1,http://bizarre.mainoemstore.com,bizarre.mainoemstore.com,0,0,-1,0
0,1,http://123ink.net,123ink.net,0,0,-1,0
0,1,http://oakville.pongclub.com,oakville.pongclub.com,0,0,-1,0
0,1,http://n.1c24.greatitemsweblines.com,n.1c24.greatitemsweblines.com,0,0,-1,0
0,1,http://www.hizipper.com,www.hizipper.com,114,0,200,1
1,0,http://itcentral.enron.com,itcentral.enron.com,0,0,-1,0
0,1,http://islamic.sheratonlmuster.com,islamic.sheratonlmuster.com,0,0,-1,0
0,1,http://www.upf.edu,www.upf.edu,0,0,200,0
0,1,http://www.medadvantage.biz,www.medadvantage.biz,0,0,-1,0
1,0,http://home.ena.enron.com,home.ena.enron.com,0,0,-1,0
0,1,http://brandywine.cheapsoftshop.info,brandywine.cheapsoftshop.info,0,0,-1,0
0,1,http://4.qc.offamilywith.com,4.qc.offamilywith.com,0,0,-1,0
1,0,http://www.evguide.com,www.evguide.com,0,0,-1,0
0,1,http://teleology.gfd-online.com,teleology.gfd-online.com,0,0,-1,0
0,1,http://kafrram.com,kafrram.com,0,0,-1,0
1,0,http://www.viisage.com,www.viisage.com,1050,0,200,1
0,1,http://www.vipprofits.com,www.vipprofits.com,0,0,-1,0
0,1,http://rd.focalex.com,rd.focalex.com,0,0,-1,0
1,0,http://support.microsoft.com,support.microsoft.com,157520,5420,200,0
1,0,http://www.hindubusinessline.com,www.hindubusinessline.com,0,0,-1,0
0,1,http://brigantine.lending-bloxs.com,brigantine.lending-bloxs.com,0,0,-1,0
0,1,http://meeting-smile.com,meeting-smile.com,0,0,-1,0
0,1,http://c.6f4.keeplookingtill.com,c.6f4.keeplookingtill.com,0,0,-1,0
0,1,http://3jv.jdv.greatspringvalue.com,3jv.jdv.greatspringvalue.com,0,0,-1,0
0,1,http://irq.7.topproductreflect.com,irq.7.topproductreflect.com,0,0,-1,0
0,1,http://safebuyinghouse.com,safebuyinghouse.com,0,0,-1,0
0,1,http://www.heywhatsupbuddy.com,www.heywhatsupbuddy.com,0,0,-1,0
0,1,http://230thatmigrates.com,230thatmigrates.com,0,0,-1,0
0,1,http://dsodyhk.redirecti.com,dsodyhk.redirecti.com,0,0,-1,0
0,1,http://taa.nepel.com,taa.nepel.com,0,0,-1,0
1,0,http://mba.vanderbilt.edu,mba.vanderbilt.edu,0,0,-1,0
0,1,http://loaneon.net,loaneon.net,0,0,-1,0
0,1,http://ao8ibovn0i.kinblmglf.com,ao8ibovn0i.kinblmglf.com,0,0,-1,0
1,0,http://www.transmission.bpa.gov,www.transmission.bpa.gov,0,0,-1,0
1,0,http://expensexms.enron.com,expensexms.enron.com,0,0,-1,0
1,0,http://www.usa.canon.com,www.usa.canon.com,240823,11676,200,1
0,1,http://masfre.info,masfre.info,0,0,-1,0
0,1,http://enterthekemlst.info,enterthekemlst.info,0,0,-1,0
0,1,http://canto.bestxpshop.info,canto.bestxpshop.info,0,0,-1,0
0,0,http://aroma.com,aroma.com,114,0,200,1
0,1,http://www.webtransit.net,www.webtransit.net,0,0,-1,0
0,1,http://www.aristatech.com,www.aristatech.com,0,0,-1,0
0,1,http://von.ttuburq.com,von.ttuburq.com,0,0,-1,0
1,0,http://www.gappy.org,www.gappy.org,0,0,-1,0
0,0,http://awaken.com,awaken.com,248013,6359,200,0
1,0,http://www.fshr.com,www.fshr.com,0,0,-1,0
0,1,http://dl.gg.passwordtourzone.com,dl.gg.passwordtourzone.com,0,0,-1,0
0,1,http://engraver.tjabiabo.com,engraver.tjabiabo.com,0,0,-1,0
0,1,http://allusive.bigdig.info,allusive.bigdig.info,0,0,-1,0
0,1,https://www.e-gold.com,www.e-gold.com,114,0,200,1
1,0,http://cefer.bus.utexas.edu,cefer.bus.utexas.edu,0,0,-1,0
1,0,http://www.chalomumbai.com,www.chalomumbai.com,0,0,-1,0
1,0,http://www.freebsd.org,www.freebsd.org,15811,2528,200,0
0,1,httpstucco://www.whyfight.com,www.whyfight.com,0,0,-1,0
0,1,http://www.spambites.com,www.spambites.com,0,0,-1,0
0,1,http://skdclan.wwwpuntocom,skdclan.wwwpuntocom.,0,0,-1,0
0,0,http://vv.ue.com,vv.ue.com,0,0,-1,0
0,1,http://balcony.realoemsales.com,balcony.realoemsales.com,0,0,-1,0
0,1,http://www.thirdworldtraveler.com,www.thirdworldtraveler.com,143900,74102,200,1
0,1,http://pjat.com,pjat.com,15347,61,200,0
0,1,http://www.lowrateznow.com,www.lowrateznow.com,0,0,-1,0
0,1,http://fkefck.biz,fkefck.biz,0,0,-1,0
0,1,http://aaqa.starsleekgreat.com,aaqa.starsleekgreat.com,0,0,-1,0
0,1,http://6.s.dreamofsomething.com,6.s.dreamofsomething.com,0,0,-1,0
0,1,http://www.refin-xnd.net,www.refin-xnd.net,0,0,-1,0
0,1,http://merciful.arosepunta.com,merciful.arosepunta.com,0,0,-1,0
0,1,http://iaj.com,iaj.com,0,0,-1,0
0,1,http://www.allsoftbest.info,www.allsoftbest.info,0,0,-1,0
0,1,http://pi.1e.realmaxhelpitem.com,pi.1e.realmaxhelpitem.com,0,0,-1,0
0,1,http://www.medgamma.com,www.medgamma.com,0,0,-1,0
0,1,http://elx.superlegalmeds.com,elx.superlegalmeds.com,0,0,-1,0
0,1,http://hydrocodine.net,hydrocodine.net,0,0,-1,0
0,1,http://biconnected.info,biconnected.info,0,0,-1,0
0,1,http://cheap-drugs-here.biz,cheap-drugs-here.biz,0,0,-1,0
0,0,http://drought.com,drought.com,0,0,-1,0
0,1,http://www.getbestmeds.com,www.getbestmeds.com,0,0,-1,0
0,1,http://www.intimate-travelclub.com,www.intimate-travelclub.com,0,0,-1,0
0,1,http://linkpaks.com,linkpaks.com,0,0,-1,0
