ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,www.coincneo.com,www.coincneo.com,0,0,-1,0
0,1,http://tinyurl.com/yfuwrq28,tinyurl.com,13574,0,200,1
0,1,http://tinyurl.com/y7yxy5gm,tinyurl.com,13574,0,200,1
0,1,http://fff.kr/auEM,fff.kr,0,0,-1,0
0,1,https://soo.gd/u053?sco,soo.gd,0,0,-1,0
0,1,www.coinsnoe.com,www.coinsnoe.com,0,0,-1,0
0,1,https://tinyurl.com/y54uxysk,tinyurl.com,13574,0,200,1
0,1,https://dokdo.in/LYD,dokdo.in,0,0,-1,0
0,1,https://open.kakao.com/o/scINi1Bc,open.kakao.com,22724,946,200,0
0,1,https://vo.la/FfaFZ,vo.la,40215,1561,200,0
0,1,https://bit.ly/2lw2FG7,bit.ly,105701,8533,200,1
0,1,www.coinoene.com,www.coinoene.com,0,0,-1,0
0,1,https://ya.mba/3Pr,ya.mba,1739,123,200,0
0,1,www.coinoine.com,www.coinoine.com,0,0,-1,0
1,0,https://news.kbs.co.kr/vod/program.do?bcd=0076&ref=pMenu#20211222&1,news.kbs.co.kr,783,0,200,1
0,1,www.coinoenl.com,www.coinoenl.com,0,0,-1,0
0,1,www.coinoena.com,www.coinoena.com,0,0,-1,0
0,1,www.coineonc.com,www.coineonc.com,0,0,-1,0
0,1,https://bit/ly/2ktOYHz?gyhfko제폰번호가해킹당해서택배문자가여러명에게가고있습니다.오해없으시기바랍니다.,bit.,0,0,-1,0
0,1,http://www.iPhone-korea.com,www.iPhone-korea.com,0,0,-1,0
0,1,http://na.to/a2f9,na.to,15481,396,200,0
0,1,https://utka.su/jpmh8,utka.su,0,0,-1,0
0,1,https://s.id/tUxzA,s.id,111217,4346,200,0
0,1,http://me2.kr/1xg9,me2.kr,42333,2198,200,0
0,1,http://click.gl/FVUX99,click.gl,0,0,-1,0
0,1,www.coinonme.com,www.coinonme.com,0,0,-1,0
0,1,https://open.kakao.com/o/sbNK3Cvc,open.kakao.com,22724,946,200,0
0,1,https://kr.pe/RSM,kr.pe,50292,2843,200,0
0,1,https://han.gl/b9GQL,han.gl,50291,2842,200,0
0,1,www.coinonve.com,www.coinonve.com,0,0,-1,0
0,1,www.mxc.kr/,www.mxc.kr,2754,110,200,0
1,0,https://news.kbs.co.kr/vod/program.do?bcd=0076&ref=pMenu#20211227&1,news.kbs.co.kr,783,0,200,1
0,1,https://ya.mba/3Pq,ya.mba,1739,123,200,0
0,1,www.modetorr.com,www.modetorr.com,0,0,-1,0
