spam,smishing,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,www.07781482378.com,www.07781482378.com,0,0,-1,0
0,1,https://m.paytm.me/fastag-help,m.paytm.me,1688,23,200,0
1,0,http://store.ovi.com/publisher/F-Secure/?cid=f,store.ovi.com,0,0,-1,0
0,1,http://www.e-tlp.co.uk/reward,www.e-tlp.co.uk,0,0,-1,0
1,1,http://careers.com,careers.com,64328,243,200,0
1,0,www.bsaitm.in,www.bsaitm.in,114,0,200,1
1,1,http://www.e-tlp.co.uk/expressoffer,www.e-tlp.co.uk,0,0,-1,0
0,1,https://ukhmrc-tax-refund.com,ukhmrc-tax-refund.com,0,0,-1,0
0,1,www.B4Utele.com,www.B4Utele.com,0,0,-1,0
1,1,http://tms.widelive.com/index.wml?id=1b6a5ecef91ff9*37819&first=true,tms.widelive.com,0,0,-1,0
1,1,www.textpod.net,www.textpod.net,0,0,-1,0
1,0,www.comuk.net,www.comuk.net,0,0,-1,0
1,0,http://onmix.mobi/alert,onmix.mobi,0,0,-1,0
1,0,www.orange.co.uk/ow,www.orange.co.uk,3746,672,200,0
0,1,http://doit.mymoby.tv/,doit.mymoby.tv,0,0,-1,0
0,1,www.txt43.com,www.txt43.com,114,0,200,1
1,1,http://tms.widelive.com/index.wml?id=820554ad0a1705572711&first=true,tms.widelive.com,0,0,-1,0
1,0,www.SMS.ac/u/hmmross,www.SMS.ac,1034,0,200,1
0,1,http://bit.ly/unlmtdfreecall,bit.ly,106530,8532,200,1
0,1,http://www.nabmobile,www.nabmobile.,0,0,-1,0
1,0,www.Ldew.com.subs16+1win150ppmx3,www.Ldew.com.subs16+1win150ppmx3.,0,0,-1,0
1,1,www.ldew.com,www.ldew.com,0,0,-1,0
0,1,http://www.wtlp.co.uk/text,www.wtlp.co.uk,0,0,-1,0
1,1,www.clubmoby.com,www.clubmoby.com,0,0,-1,0
1,0,www.ringtoneking.co.uk,www.ringtoneking.co.uk,0,0,-1,0
1,0,www.cnupdates.com/newsletter,www.cnupdates.com,69268,1422,200,1
