Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
www.hafeezcentre.pkmere,www.hafeezcentre.pkmere.,0,0,-1,0
www.united,www.united.,0,0,-1,0
www.fiveyearpk.com,www.fiveyearpk.com,0,0,-1,0
www.comp.nus.edu.sg/~howyijue/folder,www.comp.nus.edu.sg,328488,10729,200,0
www.miworld.com.sg,www.miworld.com.sg,0,0,-1,0
www.livestream.com,www.livestream.com,45090,4478,200,0
www.fullonsms.com,www.fullonsms.com,1178,0,200,1
www.irctc.co,www.irctc.co,0,0,-1,0
www.ipmart-forum.com,www.ipmart-forum.com,482,0,200,1
www.verycd.com,www.verycd.com,0,0,-1,0
www.listings.sg,www.listings.sg,181803,12295,200,0
www.IndiaFly.com,www.IndiaFly.com,0,0,-1,0
www.PaisaPay.in,www.PaisaPay.in,2308,104,200,0
www.nus.edu.sg,www.nus.edu.sg,934,83,200,0
www.brrr.me,www.brrr.me,0,0,-1,0
www.prepareinterview.com,www.prepareinterview.com,352470,26627,200,0
www.FullOnSms.com,www.FullOnSms.com,1178,0,200,1
www.materiamagica.com,www.materiamagica.com,124535,2097,200,0
