Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
http://www.kycpaytm.com/in.php,www.kycpaytm.com,0,0,-1,0
points.co.in,points.co.in,0,0,200,0
bit.ly/im3,bit.ly,126176,8761,200,1
https://bit.ly/3goHo9H,bit.ly,126176,8761,200,1
privee.com,privee.com,114,0,200,1
3.uk/18e,3.uk,176316,9092,200,0
argops.com,argops.com,86641,755,200,0
http://www.karamozyar.ir/dhl/?10iztoui77wo,www.karamozyar.ir,0,0,-1,0
http://c.p9tj.com,c.p9tj.com,0,0,-1,0
33700.fr,33700.fr,561329,2973,200,0
https://paypal.co.uk.yn5e.eu/m/,paypal.co.uk.yn5e.eu,0,0,-1,0
bit.ly/,bit.ly,126176,8761,200,1
s.id/8080spor7,s.id,112875,4346,200,0
amb.web.id,amb.web.id,26306,23,200,0
bit.ly/anular-recibos,bit.ly,126176,8761,200,1
bit.ly/39fUjHk,bit.ly,126176,8761,200,1
n.n1m.in/41tiup,n.n1m.in,0,0,-1,0
https://t.co/hukvau4hrp,t.co,3367,295,200,0
http://gs.im/n,gs.im,0,0,-1,0
http://mor.at/qlq/ad8udhi,mor.at,1709,199,200,0
com.preview-domain.com,com.preview-domain.com,0,0,-1,0
http://www.hkj.buzz/65slwiav,www.hkj.buzz,0,0,-1,0
HK42753.info,HK42753.info,0,0,-1,0
http://bit.ly/2isSKeE,bit.ly,126176,8761,200,1
www.gebyarshopee2019.tk,www.gebyarshopee2019.tk,0,0,-1,0
m9s.in/hut3q1ct,m9s.in,2,0,200,1
claro-e.com/4yksm,claro-e.com,0,0,200,0
https://aceessink.com/eEHLagt,aceessink.com,0,0,-1,0
www.bankislam.com,www.bankislam.com,165918,6026,200,0
https://y.uber.com/1охКwl84,y.uber.com,0,0,406,0
www.tim.com.br/applemusic/eesiarls,www.tim.com.br,1565109,23830,200,0
https://docs.google.com/forms/d/e/1FAIlpQLScXa5h,docs.google.com,846036,175,200,0
bharatpe.in/bharatswipe,bharatpe.in,0,0,404,0
rml.lu/NPA9NZ,rml.lu,0,0,-1,0
https://royalmail.co/schedule-delivery/?GV670517065GB,royalmail.co,0,0,-1,0
https://bit.ly/2txk2yc?=santander,bit.ly,126176,8761,200,1
whois.nic.top,whois.nic.top,0,0,-1,0
bitlyk.com/cac11w397,bitlyk.com,0,0,-1,0
http://bit.ly/33ZUxP,bit.ly,126176,8761,200,1
westpac.account-access.in/,westpac.account-access.in,0,0,-1,0
https://bit.ly/2ZpRhMM,bit.ly,126176,8761,200,1
http://w1998.xyz/s/cifsik,w1998.xyz,0,0,-1,0
https://cutt.ly/did9rjv,cutt.ly,101981,14973,200,0
http://tiny.cc/kejutan-isipulsa-mkios,tiny.cc,17788,895,200,0
https://cutt.ly/osigb8j,cutt.ly,101981,14973,200,0
tinyurl.com/2efwn9sa,tinyurl.com,13574,0,200,1
https://gov.xm.app/ilw2seo,gov.xm.app,8446,289,200,0
https://telenetfactuur.me/aanrekening/c4xlgshje?id=42aa26cc19ec,telenetfactuur.me,0,0,-1,0
http://wnut.in/GetBillAlert,wnut.in,0,0,400,0
https://tsky.in/s/dvGUmSC,tsky.in,30,0,200,1
V.whatsapp.com/768329,V.whatsapp.com,126997,1373,200,0
https://www.singaporebudget.gov.sg/sgbonus?sign,www.singaporebudget.gov.sg,18622,1137,200,0
https://onlinepasvervangen.info/,onlinepasvervangen.info,0,0,-1,0
https://bit.ly/3ucQaya,bit.ly,126176,8761,200,1
https://registrobbva7.com/5554321560,registrobbva7.com,0,0,-1,0
http://bit.ly/2QGDOIR,bit.ly,126176,8761,200,1
http://sm.sg/32x45,sm.sg,0,0,404,0
https://apply-licence-dvla.com,apply-licence-dvla.com,0,0,-1,0
http://n0u.us/UKCHM,n0u.us,0,0,-1,0
www.und-wa.blogspot.com,www.und-wa.blogspot.com,0,0,-1,0
http://bit.ly/superlinea,bit.ly,126176,8761,200,1
Colicoli.fr,Colicoli.fr,75299,6193,200,0
http://kotakrewardpoint.co.in,kotakrewardpoint.co.in,0,0,-1,0
https://informate-aqui.ml/colo,informate-aqui.ml,0,0,-1,0
https://bankieren.ch/,bankieren.ch,0,0,-1,0
https://bit.ly/36js4hq,bit.ly,126176,8761,200,1
https://dk.trustpilot.com/evaluinta,dk.trustpilot.com,282773,16326,200,0
informatie-teruggave.info,informatie-teruggave.info,0,0,-1,0
X.co/MijnING,X.co,152395,542,200,1
myads.id/Mercedes,myads.id,3302,0,200,1
http://clientisantanderarea-es.com,clientisantanderarea-es.com,0,0,-1,0
sindhgifts.com/belasting-aanmaning,sindhgifts.com,0,0,-1,0
985efeedeex.com/?uqlcc-your,985efeedeex.com,0,0,-1,0
tsel.me/hotoffer,tsel.me,0,0,200,0
accesobankiaes.com,accesobankiaes.com,0,0,-1,0
https://bit.ly/2YTlkvs,bit.ly,126176,8761,200,1
billpayid33.com/vz/i,billpayid33.com,0,0,-1,0
http://beta40.popsmoke.pw/abc123/,beta40.popsmoke.pw,0,0,-1,0
7kb.in/lix/lxy4569,7kb.in,0,0,-1,0
http://nmc.sg/gvbJKg,nmc.sg,15,0,200,1
bit.ly/1Jtcicil1Bulan,bit.ly,126176,8761,200,1
tessa.live69chat.site,tessa.live69chat.site,0,0,-1,0
eurowings.com/erstattung,eurowings.com,214081,5046,200,0
https://bit.ly/2n7klsd,bit.ly,126176,8761,200,1
http://pvrc.in/,pvrc.in,0,0,-1,0
zafxmobile.cf,zafxmobile.cf,0,0,-1,0
https://bit.ly/30q1ruh,bit.ly,126176,8761,200,1
bit.ly/cyber-attack18,bit.ly,126176,8761,200,1
yt5po.com/s/as3890,yt5po.com,0,0,-1,0
www.maybank2umy.com,www.maybank2umy.com,0,0,-1,0
bit.ly/tiktok-7947,bit.ly,126176,8761,200,1
chat-v.com/s/9cjir,chat-v.com,1761,0,200,1
https://wordpresssocial.com/s/?258000ybyazl,wordpresssocial.com,0,0,-1,0
https://mobile-account-au.web.app/,mobile-account-au.web.app,0,0,-1,0
optus.com.au/optus-4g-internet,optus.com.au,275984,0,200,1
http://www.vivo.tl/vm1101,www.vivo.tl,0,0,-1,0
ing.avg-web.nl,ing.avg-web.nl,0,0,-1,0
https://bit.ly/2zbJkB9,bit.ly,126176,8761,200,1
https://govapplication.ga,govapplication.ga,0,0,-1,0
http://bit.do/sehkd,bit.do,0,0,-1,0
att.com/armorapp,att.com,785715,1828,200,0
att.com/cyberaware,att.com,787074,1911,200,0
is.ga/bbva,is.ga,0,0,-1,0
siteground.eu,siteground.eu,70965,4009,200,1
http://bit.ly/w88,bit.ly,126176,8761,200,1
https://cutt.ly/yze8h6a,cutt.ly,101981,14973,200,0
gps.ut9.co,gps.ut9.co,0,0,-1,0
http://8d269466000d.ngrok.io/sbibank,8d269466000d.ngrok.io,0,0,404,0
https://hsbc.uk.authpayee.com,hsbc.uk.authpayee.com,0,0,-1,0
www.infoptwhatsapp-2019.blog,www.infoptwhatsapp-2019.blog,0,0,-1,0
http://bit.ly/20TFt3v?,bit.ly,126176,8761,200,1
https://cd18b76d24f7.ngrok.io/sbibank,cd18b76d24f7.ngrok.io,0,0,404,0
solidclarification.com,solidclarification.com,0,0,-1,0
m9s.in/gi4or,m9s.in,2,0,200,1
https://postoffice-express-parcel.com,postoffice-express-parcel.com,0,0,-1,0
HK38427.info,HK38427.info,0,0,-1,0
https://goo.gl/i33v4c,goo.gl,67311,4985,200,1
