ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://50ca13b44a4d.ngrok.io/sbibank,50ca13b44a4d.ngrok.io,0,0,404,0
0,1,httpysmrtlnkinurvqwr,httpysmrtlnkinurvqwr.,0,0,-1,0
0,1,httpbitlynysdiy,httpbitlynysdiy.,0,0,-1,0
0,1,www.imsindia.co,www.imsindia.co,0,0,-1,0
0,1,httpbitlywfwixn,httpbitlywfwixn.,0,0,-1,0
0,1,http://apple.id.auth-client,apple.id.auth-client.,0,0,-1,0
0,1,http://uk-royalmail.com/,uk-royalmail.com,0,0,-1,0
0,1,http://l.jazzmobilemag.pk/dHTDPLS/27cd,l.jazzmobilemag.pk,0,0,-1,0
0,1,http://byrl.me/o5Lq8Hy,byrl.me,60742,7590,200,0
0,1,http://bit.ly/3bkEnWk,bit.ly,116249,9024,200,1
0,1,http://nsm.sg/6YbUKX,nsm.sg,15,0,200,1
0,1,httpysmrtlnkinddxidsa,httpysmrtlnkinddxidsa.,0,0,-1,0
0,1,http://www.jbhifi.com.au/receipts/,www.jbhifi.com.au,945035,87,200,0
0,1,httptbkbzjjvjyncy,httptbkbzjjvjyncy.,0,0,-1,0
0,1,httpgooglyfyzzd,httpgooglyfyzzd.,0,0,-1,0
0,1,http://chat.whatsapp.com/,chat.whatsapp.com,182459,3038,200,0
0,1,www.lons.in/C05C696E4,www.lons.in,25267,418,200,1
0,1,httpbitlynkvj,httpbitlynkvj.,0,0,-1,0
0,1,http://namzx.com/e0v,namzx.com,0,0,-1,0
0,1,http://l.jazzmobilemag.pk/1U1V0RH/aa54,l.jazzmobilemag.pk,0,0,-1,0
0,1,httpgooglnvtsgn,httpgooglnvtsgn.,0,0,-1,0
0,1,http://passform.co,passform.co,0,0,-1,0
0,1,http://bit.ly/22491PG,bit.ly,116249,9024,200,1
0,1,httpsgooglekyj,httpsgooglekyj.,0,0,-1,0
0,1,http://2xz.us/3/Vwfp,2xz.us,0,0,-1,0
0,1,httpgooglcrzy,httpgooglcrzy.,0,0,-1,0
0,1,http://RedCross-mask.ca,RedCross-mask.ca,0,0,-1,0
