label,text,translated_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Vá até Jurong Point, louco .. disponível apenas em Bugis n Great World La E Buffet ... Cine lá ficou Amore Wat ..."
ham,Ok lar... Joking wif u oni...,Ok lar ... brincando wif u oni ...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Entrada gratuita em 2 um comp wkly para vencer a FA Cup final TKTS 21 de maio de 2005. Texto FA a 87121 para receber a pergunta de entrada (taxa de txt std) T&C Aplicar 08452810075OVER18's
ham,U dun say so early hor... U c already then say...,Você não diz tão cedo Hor ... você já diz então ...
ham,"Nah I don't think he goes to usf, he lives around here though","Nah eu não acho que ele vai para a USF, ele mora por aqui embora"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","Freemsg ei, querida, já faz três semanas e nenhuma palavra de volta!Gostaria de me divertir ainda?TB OK!XXX STD CHGS para enviar, Å £ 1,50 para RCV"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Mesmo meu irmão não gosta de falar comigo.Eles me tratam como patente da Aids.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,De acordo com a sua solicitação 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu callertune para todos os chamadores.Pressione *9 para copiar seus amigos caltune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"GANHADOR!!Como cliente de rede valorizado, você foi selecionado para receber a recompensa de £ 900 £ 900!Para reivindicar, ligue para 09061701461. Código de reivindicação KL341.Válido apenas 12 horas."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Seu celular tinha 11 meses ou mais?Você está com direito a atualizar para os mais recentes celulares de cores com câmera gratuitamente!Ligue para o Mobile Update Co grátis no 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Vou estar em casa em breve e não quero mais falar sobre essas coisas hoje à noite, K?Eu chorei o suficiente hoje."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","Seis chances de ganhar dinheiro!De 100 a 20.000 libras txt> csh11 e enviar para 87575. Custo 150p/dia, 6 dias, 16+ tsandcs Aplicar resposta hl 4 informações"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENTE!Você ganhou uma associação gratuita de 1 semana em nosso Jackpot de £ 100.000 £!TXT A PALAVRA: Reivindicação de NO: 81010 T&C www.dbuk.net lccltd POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Eu tenho procurado as palavras certas para agradecer por esta respira.Prometo que não vou dar sua ajuda como garantida e cumprirei minha promessa.Você tem sido maravilhoso e uma bênção o tempo todo.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,Eu tenho um encontro no domingo com Will !!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMOBILEMOVIECLUB: Para usar seu crédito, clique no link WAP na próxima mensagem TXT ou clique aqui >> http: // wap.xxxmobilemovieclub.com?n=qjkGighjjgcbl"
ham,Oh k...i'm watching here:),Oh k ... estou assistindo aqui :)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Eh você se lembra de como 2 soletrar o nome dele ... sim, eu fiz.Ele é o safado, até que eu esteja molhado."
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,"Tudo bem, se isso é o jeito que você se sente.Esse é a maneira como é gota b"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","Inglaterra/Macedônia - Não perca os objetivos/notícias da equipe.TXT sua equipe nacional para 87077, por exemplo, Inglaterra a 87077 Tente: Gales, Escócia 4txt/ì¼1.20 Poboxox36504w45wq 16+"
ham,Is that seriously how you spell his name?,"É isso sério, como você soletra o nome dele?"
ham,IÛ÷m going to try for 2 months ha ha only joking,Eu vou tentar por 2 meses ha ha apenas brincando
ham,So Ì_ pay first lar... Then when is da stock comin...,"Então, ì_ pague primeiro último ... então quando está a ação ..."
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"Depois, terminei meu almoço, então vou para baixo.ARD 3 SMTH LOR.Você já termina seu almoço?"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Ffffffffff.Tudo bem, não posso me encontrar com você mais cedo?"
